,movieId,title_en,title_ko,genres,year,vote_average,vote_count,director,actor,poster,link
15,95,Broken Arrow (1996),브로큰 애로우,Action Adventure Thriller,1996,5.7,459.0,오우삼,"['존 트라볼타', '크리스찬 슬레이터']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0181/A8174-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18174
16,104,Happy Gilmore (1996),해피 길모어,Comedy,1996,6.5,767.0,데니스 듀간,['아담 샌들러'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0239/B3958-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=23958
17,110,Braveheart (1995),브레이브하트,Action Drama War,1995,7.7,3404.0,멜 깁슨,"['멜 깁슨', '소피 마르소', '패트릭 맥구한']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17162_P20_153317.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17162
18,111,Taxi Driver (1976),택시 드라이버,Crime Drama Thriller,1976,8.1,2632.0,마틴 스코세이지,['로버트 드 니로'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0107/A0793-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10793
19,145,Bad Boys (1995),나쁜 녀석들,Action Comedy Crime Drama Thriller,1995,6.5,1729.0,마이클 베이,"['마틴 로렌스', '윌 스미스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7163-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17163
20,147,The Basketball Diaries (1995),바스켓볼 다이어리,Drama,1995,7.2,472.0,스콧 칼버트,"['레오나르도 디카프리오', '줄리엣 루이스', '마크 월버그']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0187/A8763-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18763
21,150,Apollo 13 (1995),아폴로  13 ,Adventure Drama IMAX,1995,7.3,1637.0,론 하워드,"['톰 행크스', '케빈 베이컨', '빌 팩스톤', '게리 시나이즈', '에드 해리스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0176/17692_P25_113816.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17692
22,153,Batman Forever (1995),배트맨 3 - 포에버,Action Adventure Comedy Crime,1995,5.2,1529.0,조엘 슈마허,"['발 킬머', '토미 리 존스', '짐 캐리', '니콜 키드먼', '크리스 오도넬']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0172/A7290-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17290
23,158,Casper (1995),꼬마 유령 캐스퍼,Adventure Children,1995,6.0,1045.0,브래드 실버링,"['크리스티나 리치', '빌 풀만', '캐시 모리어티', '에릭 아이들', '조 니포트']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0175/A7571-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17571
24,161,Crimson Tide (1995),크림슨 타이드,Drama Thriller War,1995,7.0,508.0,토니 스콧,"['덴젤 워싱턴', '진 핵크만']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7486-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17486
25,163,Desperado (1995),데스페라도,Action Romance Western,1995,6.8,898.0,로버트 로드리게즈,"['안토니오 반데라스', '조아큄 드 알메이다']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7147-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17147
26,165,Die Hard: With a Vengeance (1995),다이 하드 3,Action Crime Thriller,1995,6.9,2094.0,존 맥티어난,"['브루스 윌리스', '제레미 아이언스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0170/A7092-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17092
27,173,Judge Dredd (1995),져지 드레드,Action Crime Sci-Fi,1995,5.4,643.0,대니 캐논,['실베스터 스탤론'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/17422_P11_140210.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17422
28,196,Species (1995),스피시즈,Horror Sci-Fi,1995,5.5,457.0,로저 도널드슨,"['벤 킹슬리', '마이클 매드슨', '알프리드 몰리나', '포레스트 휘태커']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17158_P01_135529.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17158
29,208,Waterworld (1995),워터월드,Action Adventure Sci-Fi,1995,5.9,1017.0,케빈 레이놀즈,"['케빈 코스트너', '진 트리플혼', '데니스 호퍼', '티나 마조리노']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7116-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17116
30,215,Before Sunrise (1995),비포 선라이즈,Drama Romance,1995,7.7,984.0,리처드 링클레이터,"['에단 호크', '줄리 델피']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/17773_P46_145109.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17773
31,216,Billy Madison (1995),백만장자 빌리,Comedy,1995,6.2,464.0,탐라 데이비스,['아담 샌들러'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0260/B6000-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=26000
32,223,Clerks (1994),점원들,Comedy,1994,7.4,769.0,케빈 스미스,"['브라이언 오할로런', '제프 앤더슨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0279/B7913-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=27913
33,235,Ed Wood (1994),에드 우드,Comedy Drama,1994,7.3,639.0,팀 버튼,['조니 뎁'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0187/A8702-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18702
34,266,Legends of the Fall (1994),가을의 전설,Drama Romance War Western,1994,7.2,636.0,에드워드 즈윅,"['브래드 피트', '안소니 홉킨스', '에이단 퀸', '줄리아 오몬드', '헨리 토마스', '카리나 롬바드']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7173-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17173
35,288,Natural Born Killers (1994),올리버 스톤의 킬러,Action Crime Thriller,1994,6.9,927.0,올리버 스톤,"['우디 해럴슨', '줄리엣 루이스', '로버트 다우니 주니어', '토미 리 존스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0172/A7257-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17257
36,292,Outbreak (1995),아웃브레이크,Action Drama Sci-Fi Thriller,1995,6.4,522.0,볼프강 페터젠,"['더스틴 호프만', '르네 루소', '모건 프리먼']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0170/A7040-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17040
37,296,Pulp Fiction (1994),펄프 픽션,Comedy Crime Drama Thriller,1994,8.3,8670.0,쿠엔틴 타란티노,"['존 트라볼타', '사무엘 L. 잭슨', '우마 서먼', '하비 케이틀', '팀 로스', '아만다 플러머', '마리아 드 메데이로스', '빙 라메스', '에릭 스톨츠', '로잔나 아퀘트', '크리스토퍼 월켄', '브루스 윌리스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6571-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16571
38,316,Stargate (1994),스타게이트,Action Adventure Sci-Fi,1994,6.8,942.0,롤랜드 에머리히,"['커트 러셀', '제임스 스페이더']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7176-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17176
39,317,The Santa Clause (1994),산타클로스,Comedy Drama Fantasy,1994,6.3,501.0,존 파스킨,['팀 알렌'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0196/A9637-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=19637
40,318,The Shawshank Redemption (1994),쇼생크 탈출,Crime Drama,1994,8.5,8358.0,프랭크 다라본트,"['팀 로빈스', '모건 프리먼']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/17421_P16_095733.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17421
41,329,Star Trek: Generations (1994),스타 트랙 7 - 넥서스 트랙,Adventure Drama Sci-Fi,1994,6.4,461.0,데이비드 카슨,"['패트릭 스튜어트', '조나단 플레이크', '브렌트 스피너', '레버 버튼', '마이클 돈', '게이츠 맥파든', '마리나 설티스', '말콤 맥도웰', '제임스 두한']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0175/17500_P02_105318.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17500
42,337,What's Eating Gilbert Grape (1993),길버트 그레이프,Drama,1993,7.5,943.0,라세 할스트롬,"['조니 뎁', '줄리엣 루이스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0164/16487_P19_144134.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16487
43,344,Ace Ventura: Pet Detective (1994),에이스 벤츄라,Comedy,1994,6.4,1684.0,톰 새디악,['짐 캐리'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0161/A6174-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16174
44,353,The Crow (1994),크로우,Action Crime Fantasy Thriller,1994,7.3,980.0,알렉스 프로야스,"['브랜든 리', '어니 허드슨', '마이클 윈콧']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7145-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17145
45,355,The Flintstones (1994),고인돌 가족,Children Comedy Fantasy,1994,5.0,559.0,브라이언 레반트,"['존 굿맨', '릭 모라니스', '엘리자베스 퍼킨스', '로지 오도넬']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6569-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16569
46,356,Forrest Gump (1994),포레스트 검프,Comedy Drama Romance War,1994,8.2,8147.0,로버트 저메키스,['톰 행크스'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17159_P12_153452.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17159
47,357,Four Weddings and a Funeral (1994),네번의 결혼식과 한번의 장례식,Comedy Romance,1994,6.6,654.0,마이크 뉴웰,"['휴 그랜트', '앤디 맥도웰']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6566-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16566
48,364,The Lion King (1994),라이온 킹,Adventure Animation Children Drama Musical IMAX,1994,8.0,5520.0,로저 알러스,"['조나단 테일러 토마스', '매튜 브로데릭', '제임스 얼 존스', '제레미 아이언스', '모이라 켈리', '니케타 캘레임']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/16521_P45_105412.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16521
49,367,The Mask (1994),마스크,Action Comedy Crime Fantasy,1994,6.6,2550.0,척 러셀,['짐 캐리'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7131-02.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17131
50,377,Speed (1994),스피드,Action Romance Thriller,1994,6.8,1814.0,얀 드봉,"['키아누 리브스', '데니스 호퍼', '산드라 블록']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6503-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16503
51,380,True Lies (1994),트루 라이즈,Action Adventure Comedy Romance Thriller,1994,6.8,1138.0,제임스 카메론,"['아놀드 슈왈제네거', '제이미 리 커티스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6516-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16516
52,420,Beverly Hills Cop III (1994),비버리 힐스 캅 3,Action Comedy Crime Thriller,1994,5.5,445.0,존 랜디스,['에디 머피'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6568-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16568
53,428,A Bronx Tale (1993),브롱스 이야기,Drama,1993,7.4,447.0,로버트 드 니로,"['로버트 드 니로', '채즈 팰민테리']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6504-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16504
54,431,Carlito's Way (1993),칼리토,Crime Drama,1993,7.7,805.0,브라이언 드 팔마,"['알 파치노', '숀 펜', '페네로프 앤 밀러']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0162/A6217-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16217
55,434,Cliffhanger (1993),클리프행어,Action Adventure Thriller,1993,6.1,600.0,레니 할린,['실베스터 스탤론'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0141/A4152-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14152
56,441,Dazed and Confused (1993),멍하고 혼돈스러운,Comedy,1993,7.4,588.0,리처드 링클레이터,"['제이슨 런던', '조이 로렌 아담스', '밀라 요보비치', '숀 앤드류스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0320/32050_P02_135934.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=32050
57,442,Demolition Man (1993),데몰리션 맨,Action Adventure Sci-Fi,1993,6.4,1018.0,마르코 브람빌라,"['실베스터 스탤론', '웨슬리 스나입스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0144/A4425-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14425
58,454,The Firm (1993),야망의 함정,Drama Thriller,1993,6.6,513.0,시드니 폴락,"['톰 크루즈', '진 핵크만']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0133/A3386-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13386
59,457,The Fugitive (1993),도망자,Thriller,1993,7.2,1240.0,앤드루 데이비스,"['해리슨 포드', '토미 리 존스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0130/A3042-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13042
60,466,Hot Shots! Part Deux (1993),못말리는 람보,Action Comedy War,1993,6.2,463.0,짐 에이브람스,['찰리 쉰'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0120/A2025-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=12025
61,480,Jurassic Park (1993),쥬라기 공원,Action Adventure Sci-Fi Thriller,1993,7.6,4956.0,스티븐 스필버그,"['샘 닐', '로라 던', '제프 골드브럼', '리차드 아텐보로']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0135/13500_P67_115619.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13500
62,500,Mrs. Doubtfire (1993),미세스 다웃파이어,Comedy Drama,1993,7.0,1638.0,크리스 콜럼버스,"['로빈 윌리엄스', '샐리 필드']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0162/A6210-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16210
63,508,Philadelphia (1993),필라델피아,Drama,1993,7.6,1019.0,조나단 드미,"['톰 행크스', '덴젤 워싱턴']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0161/A6121-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16121
64,520,Robin Hood: Men in Tights (1993),못말리는 로빈 훗,Comedy,1993,6.4,575.0,멜 브룩스,"['캐리 엘위스', '리차드 루이스', '로저 리스', '에이미 야스벡', '마크 블랭크필드', '데이브 샤펠', '이삭 하에스', '메간 카바나', '에릭 알랜 크래머', '매튜 포레타', '트레이시 울만']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0162/A6212-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16212
65,527,Schindler's List (1993),쉰들러 리스트,Drama War,1993,8.3,4436.0,스티븐 스필버그,['리암 니슨'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0144/14450_P20_095419.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14450
66,539,Sleepless in Seattle (1993),시애틀의 잠 못 이루는 밤,Comedy Drama Romance,1993,6.5,630.0,노라 에프론,"['톰 행크스', '멕 라이언']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0129/12918_P09_163224.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=12918
67,541,Blade Runner (1982),블레이드 러너,Action Sci-Fi Thriller,1982,7.9,3833.0,리들리 스콧,['해리슨 포드'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0109/10962_P59_104320.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10962
68,553,Tombstone (1993),툼스톤,Action Drama Western,1993,7.4,632.0,조지 P. 코스마토스,"['커트 러셀', '발 킬머', '마이클 빈', '파워스 부스', '로버트 존 버크', '데이나 딜레이니', '샘 엘리어트', '스티븐 랭', '테리 오퀸', '조안나 파큘라', '빌 팩스톤', '제이슨 프리스틀리', '마이클 루커', '존 테니']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0164/A6488-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16488
69,555,True Romance (1993),트루 로맨스,Crime Thriller,1993,7.5,762.0,토니 스콧,"['크리스찬 슬레이터', '패트리샤 아퀘트']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0162/A6201-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16201
70,586,Home Alone (1990),나 홀로 집에,Children Comedy,1990,7.1,2487.0,크리스 콜럼버스,"['맥컬리 컬킨', '조 페시', '다니엘 스턴', '존 허드', '로버츠 브로좀', '캐서린 오하라']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/A0016-02.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10016
71,587,Ghost (1990),사랑과 영혼,Comedy Drama Fantasy Romance Thriller,1990,6.9,1381.0,제리 주커,"['패트릭 스웨이지', '데미 무어']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0101/10173_P30_095836.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10173
72,588,Aladdin (1992),알라딘,Adventure Animation Children Comedy Musical,1992,7.4,3495.0,존 머스커,"['스콧 와인거', '로빈 윌리엄스', '린다 라킨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0130/13008_P25_151011.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13008
73,589,Terminator 2: Judgment Day (1991),터미네이터  2 :오리지널,Action Sci-Fi,1991,7.7,4274.0,제임스 카메론,['아놀드 슈왈제네거'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0102/10200_P51_095957.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10200
74,590,Dances with Wolves (1990),늑대와 춤을,Adventure Drama Western,1990,7.6,1084.0,케빈 코스트너,['케빈 코스트너'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0102/10244_P80_100056.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10244
75,592,Batman (1989),배트맨,Action Crime Thriller,1989,7.0,2145.0,팀 버튼,"['마이클 키튼', '잭 니콜슨', '킴 베이싱어']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0102/A0253-03.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10253
76,594,Snow White and the Seven Dwarfs (1937),백설공주와 일곱 난쟁이,Animation Children Drama Fantasy Musical,1937,6.9,1973.0,데이비드 핸드,"['해리 스톡웰', '루실 라 베른', '모로니 올슨', '빌리 길버트', '핀토 콜비그', '스코티 매트로']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0110/11068_P25_151516.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11068
77,595,Beauty and the Beast (1991),미녀와 야수,Animation Children Fantasy Musical Romance IMAX,1991,7.5,3029.0,게리 트러스데일,"['페이지 오하라', '로비 벤슨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0131/13172_P129_150802.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13172
78,596,Pinocchio (1940),피노키오,Animation Children Fantasy Musical,1940,6.9,1412.0,벤 샤프스틴,"['딕키 존스', '크리스찬 러브', '클리프 에드워즈', '월터 캐틀렛', '찰스 쥬델스', '멜 블랭크', '프랭키 대로', '돈 브로디']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0118/A1804-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11804
79,597,Pretty Woman (1990),귀여운 여인,Comedy Romance,1990,7.0,1807.0,게리 마샬,"['리차드 기어', '줄리아 로버츠']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0101/A0132-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10132
80,608,Fargo (1996),파고,Comedy Crime Drama Thriller,1996,7.7,2080.0,조엘 코엔,"['프란시스 맥도맨드', '윌리암 H. 머시', '스티브 부세미', '하브 프레스넬', '피터 스토메어']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0180/A8002-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18002
81,616,The Aristocats (1970),아리스토캣,Animation Children,1970,7.1,1287.0,울프강 라이트만,['필 해리스'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0169/A6907-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16907
82,648,Mission: Impossible (1996),미션 임파서블,Action Adventure Mystery Thriller,1996,6.7,2677.0,브라이언 드 팔마,['톰 크루즈'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0176/A7626-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17626
83,673,Space Jam (1996),스페이스 잼,Adventure Animation Children Comedy Fantasy Sci-Fi,1996,6.5,1335.0,조 핏카,['마이클 조던'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/A7786-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17786
84,733,The Rock (1996),더 록,Action Adventure Thriller,1996,6.9,1474.0,마이클 베이,"['숀 코네리', '니콜라스 케이지', '에드 해리스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7135-04.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17135
85,736,Twister (1996),트위스터,Action Adventure Romance Thriller,1996,6.1,966.0,얀 드봉,"['헬렌 헌트', '빌 팩스톤', '캐리 엘위스', '제이미 거츠']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0176/A7629-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17629
86,741,Ghost in the Shell (1995),공각기동대,Animation Sci-Fi,1995,7.8,854.0,오시이 마모루,"['타나카 아츠코', '오오츠카 아키오']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0239/23917_P133_154352.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=23917
